nomor;sifat;jenis;hal;tgl;user;ruang
445/23974/303/2020;Penting;Lain-lain;Hasil Rapid Test COVID-19 Bapenda Magetan;06/07/2020;Dian;NULL
445/23852/303/2020;Penting;Lain-lain;Permohonan Pemanfaatan Nomor Induk Kependudukan 1;03/07/2020;Dian;NULL
RSSM/ND/UMM/080/2020;Penting;Nota Dinas;Percepatan Penyerapan Anggaran Tahun Anggaran 2020 Pasca Kebijakan Pemberlakuan New Normal;03/07/2020;Dian;NULL
RSSM/ND/UMM/079/2020;Penting;Nota Dinas;Usulan Anggaran Penambahan Bertahap Bandwidth Jaringan Internet;02/07/2020;Dian;NULL
445/23720/303/2020;Penting;Surat Permohonan;Permohonan Colocation;02/07/2020;Dian;NULL
445/23533/303/2020;Penting;Lain-lain;Hasil Rapid Test Covid-19 Peternakan Prov Jatim;01/07/2020;Dian;NULL
445/23534/303/2020;Penting;Lain-lain;Hasil Rapid Test COVID-19 BLK Madiun;01/07/2020;Dian;NULL
800/23538/303/2020;Penting;Surat Tugas;dr R Sjaiful Anwar, Sp.JP sebagai Pelaksana Tugas (Plt) Kepala Bidang Pendidikan dan Penelitian RSUD dr Soedono Madiun;01/07/2020;Dian;NULL
800/23537/303/2020;Penting;Surat Tugas;dr Ratih Kartika Suryani, M.Kes sebagai Pelaksana Tugas (Plt) Kepala Bagian Keuangan dan Akuntansi RSUD dr Soedono Madiun;01/07/2020;Dian;NULL
800/24532/303/2020;Penting;Surat Tugas;Melaksanakan tugas sebagai Tim Failure Mode and Effect Analysis (FMEA) Tatanan Layanan Baru Dalam Penbedahan di RSUD dr Soedono Madiun di Era Pandemi ;01/07/2020;Dian;NULL
445/23532/303/2020;Penting;Lain-lain;Hasil Rapid Test COVID-19 Disperindag Prov Jatim;01/07/2020;Dian;NULL
Sprin/3984/VI/PAM.3.3/2020;Segera;Surat Tugas;Surat Perintah Pengamanan Rumah Sakit Provinsi Dr Soedono Madiun dlm rangka Pencegahan Masyarakat Mengambil Paksa Pasien Meninggal Dunia yang terjangk;30/06/2020;Dian;NULL
445/23280/303/2020;Segera;Surat Permohonan;Permohonan Rekomendasi an Awansa Putra;30/06/2020;Dian;NULL
445/23144/303/2020;Penting;Lain-lain;Monitoring Klaim Pasien COVID-19;29/06/2020;Dian;NULL
RSSM/ND/PEG/27/2020;Penting;Nota Dinas;Kelengkapan Dokumen untuk Ijin Operasional Rumah Sakit;29/06/2020;Dian;NULL
445/22663/303/2020;Penting;Surat Pengntar;Perjanjian Kerja Sama antara RSUD Caruban Kabupaten Madiun dengan RSUD dr Soedono Madiun tentang Pelayanan Kesehatan Rujukan;25/06/2020;Dian;NULL
RSSM/ND/UMM/078/2020;Penting;Nota Dinas;Hasil Analisa dan Diskusi Surveilans COVID-19 di RSUD dr Soedono Madiun;25/06/2020;Dian;NULL
RSSM/ND/UMM/071/2020;Penting;Nota Dinas;Apel Rutin Virtual tgl 25 Juni 2020;24/06/2020;Dian;NULL
445/22459/303/2020;Penting;Lain-lain;Tindak Lanjut Konfirmasi atas Penerimaan atau Pendistribusian Alat Material Kesehatan;24/06/2020;Dian;NULL
445/22467/303/2020;Segera;Surat Permohonan;Permohonan Kebutuhan Alat Audiometri dan EKG;24/06/2020;Dian;NULL
RSSM/ND/UMM/070/2020;Segera;Nota Dinas;Halal Bihalal Gubernur dan Wakil Gubernur Jawa Timur;23/06/2020;Dian;NULL
RSSM/ND/UMM/069/2020;Penting;Nota Dinas;Penggiatan Kembali Senam Pagi Rutin Hari Jumat;23/06/2020;Dian;NULL
445/22294/303/2020;Penting;Lain-lain;Hasil Rapid Test COVID-19 Bakorwil;23/06/2020;Dian;NULL
445/22222/303/2020;Segera;Surat Permohonan;Permohonan Rapid Test Kit COVID-19;23/06/2020;Dian;NULL
445/22051/303/2020;Penting;Surat Pengntar;Hasil Audit Perinatal an By Fitra Madani;22/06/2020;Dian;NULL
445/21935/303/2020;Penting;Lain-lain;Penggunaan Domain dan Email Resmi Pemerintah;19/06/2020;Dian;NULL
RSSM/ND/UMM/067/2020;Penting;Nota Dinas;Apel Rutin Virtual tgl 18 Juni 2020;17/06/2020;Dian;NULL
RSSM/ND/UMM/068/2020;Penting;Nota Dinas;Optimalisasi Aplikasi Covid-19 dalam Sosialisasi kepada Masyarakat;17/06/2020;Dian;NULL
800/5052/204.3/2020;Segera;Lain-lain;Laporan Hasil Pemantauan Dampak COVID-19 di Lingkungan Pemerintah Provinsi Jawa Timur;16/06/2020;Dian;NULL
1154/VII-03/0620;Penting;Surat Undangan;Undangan Vicon Sosialisasi Tindak Lanjut Perpres 64 Tahun 2020 dan Penyampaian Perdir BPJS Kesehatan No 26 Tahun 2020;11/06/2020;Dian;NULL
445/20829/303/2020;Penting;Lain-lain;Persetujuan Biaya Kalibrasi Alat Kesehatan;10/06/2020;Dian;NULL
445/20857/303/2020;Penting;Surat Pengntar;Perjanjian Kerja Sama antara Politeknik Kesehatan Kemenkes Surakarta dengan RSUD dr Soedono Madiun tentang Pelaksanaan Tri Dharma Perguruan Tinggi;10/06/2020;Dian;UMUM
445/20828/303/2020;Penting;Lain-lain;Persetujuan Biaya Kalibrasi dan Uji Kesesuaian Pesawat X Ray;10/06/2020;Dian;NULL
442/20704/303/2020;Penting;Lain-lain;Permitaan Methadon Cair;09/06/2020;Dian;NULL
0;Penting;Lain-lain;Surat Pernyataan an Pramono;09/06/2020;Dian;NULL
445/20653/303/2020;Penting;Surat Permohonan;Jawaban Permohonan Hadil Swab Pasien COVID-19 an Ketut Dwi Doyo;09/06/2020;Dian;NULL
RSSM/ND/PEG/24/2020;Penting;Nota Dinas;Informasi Seleksi Penerimaan Calon Praja Institut Pemerintahan Dalam Negeri Tahun 2020;08/06/2020;Dian;NULL
RSSM/ND/PEG//2020;Penting;Nota Dinas;Pemberitahuan Terkait Pengajuan Cuti Pegawai;08/06/2020;Dian;NULL
800/20243/303/2020;Segera;Surat Tugas;Melaksanakan tugas melakukan pelayanan kesehatan sebagai tenaga ahli/Profesional Perawat Pelayanan Covid-19 di BPSDM Prov JATIM di jalan Balongsari Ta;04/06/2020;Dian;NULL
RSSM/ND/UMM/041//2020;Penting;Nota Dinas;Usulan Peningkatan Kompetensi SDM Kearsipan Khususnya Bagi Arsiparis;04/06/2020;Dian;NULL
RSSM/ND/UMM/052/2020;Segera;Nota Dinas;Pengisian Kuesioner Survei Kepuasan Masyarakat (SKM) LKPP Tahun 2020;04/06/2020;Dian;NULL
445/20245/303/2020;Penting;Surat Permohonan;Permohonan Survei Verifiksi II Akreditasi SNARS;04/06/2020;Dian;NULL
RSSM/ND/UMM/038/2020;Penting;Nota Dinas;Penyelenggaraan Kegiatan Keagamaan di Masjid Asy-Syifa RSUD dr Soedono Madiun;04/06/2020;Dian;UMUM
445/20228/303/2020;Penting;Lain-lain;Laporan Inventarisasi Donasi Penanggulangan COVID-19;04/06/2020;Dian;NULL
445/20245/303/2020;Penting;Surat Permohonan;Permohonan Survei Verifikasi II Akreditasi SNARS;04/06/2020;Dian;NULL
442/19993/303/2020;Penting;Surat Pengntar;Laporan pemakaian metadon bulan Mei 2020;02/06/2020;Dian;NULL
445/19921/303/2020;Penting;Surat Keterangan;Surat Keterangan an. Sri Utami;02/06/2020;Dian;NULL
445/19987/303/2020;Biasa;Surat Keterangan;Surat Keterangan Sakit Sri Athi Rahayu;02/06/2020;Dian;NULL
445/19766/303/2020;Penting;Lain-lain;Pengajuan Permohonan Uji Konfirmasi Pemantapan Mutu Eksternal COVID-19;29/05/2020;Dian;NULL
445/19807/303/2020;Penting;Lain-lain;Pelaporan Sensus Penduduk Online Tahun 2020;29/05/2020;Dian;NULL
445/19590/303/2020;Penting;Surat Keterangan;Surat Keterangan Azis Mualim Priyo Utomo;28/05/2020;Dian;NULL
RSSM/ND/UMM/036/2020;Segera;Nota Dinas;Pelaporan Sensus Penduduk Online Tahun 2020;26/05/2020;Dian;NULL
445/19186/303/2020;Penting;Surat Keterangan;Surat Keterangan Sri Utari,Amd.Kep;22/05/2020;Dian;NULL
RSSM/ND/UMM/034/2020;Penting;Nota Dinas;Perubahan Hari Libur Nasional dan Cuti Bersama Tahun 2020;21/05/2020;Dian;NULL
445/19065/303/2020;Biasa;Surat Permohonan;Permohonan Sewa Lahan;20/05/2020;Dian;NULL
RSSM/ND/PEG/22/2020;Penting;Nota Dinas;Update Data Kompetensi di E-Master Tahun 2020;20/05/2020;Dian;NULL
RSSM/ND/PEG/21/2020;Penting;Nota Dinas;Larangan Bepergian ke Luar Daerah/ Mudik Tahun 2020;20/05/2020;Dian;NULL
RSSM/ND/UMM/033/2020;Penting;Lain-lain;Kegiatan Halal Bi Halal 1441 H/ 2020 M RSUD dr Soedono Madiun;19/05/2020;Dian;NULL
RSSM/ND/UMM/032/2020;Penting;Nota Dinas;Zonasi Pelayanan Berdasarkan Tingkat Risiko Penularan Infeksi COVID-19;18/05/2020;Dian;NULL
800/18697/303/2020;Segera;Surat Tugas;Melaksanakan tugas sebagai Panitia Halal Bi Halal Perayaan Idul Fitri 1 Syawal 1441 H/ 2020 M yang akan dilaksanakan di Halaman Parkir Rawat jalan RSU;18/05/2020;Dian;NULL
RSSM/ND/PEG/20/2020;Penting;Nota Dinas;Penjelasan Pengajuan Surat Cuti Pegawai RSUD dr Soedono Madiun;12/05/2020;Dian;NULL
RSSM/ND/UMM/030/2020;Penting;Nota Dinas;Penjelasan Pembatasan Kegiatan Bepergian ke Luar Daerah dan/atau Kegiatan Mudik;11/05/2020;Dian;NULL
RSSM/ND/PEG/18/2020;Penting;Nota Dinas;Update Data IP ASN di E-Master Tahun 2020;11/05/2020;Dian;NULL
RSSM/ND/UMM/029/2020;Penting;Nota Dinas;Penggalangan Donasi COVID-19 tahap Kedua;08/05/2020;Dian;NULL
445/17560/303/2020;Penting;Lain-lain;Jawaban permohonan pemeriksaan tahanan untuk pemeriksaan bebas COVID-19;08/05/2020;Dian;NULL
445/17694/303/2020;Penting;Lain-lain;USulan Perubahan Pejabat Pengelola Keuangan TA 2020;08/05/2020;Dian;NULL
445/17211/303/2020;Penting;Lain-lain;Rekomendasi Syarat Ruang Isolasi Negatif Pressure;06/05/2020;Dian;UMUM
RSSM/ND/UMM/028/2020;Segera;Nota Dinas;Pengusulan Peserta KOVABLIK Jawa Timur Tahun 2020;06/05/2020;Dian;NULL
445/17141/303/2020;Penting;Surat Permohonan;Permohonan bantuan Madia VTM;06/05/2020;Dian;NULL
445/16913/303/2020;Segera;Lain-lain;Program CSR Service Kendaraan;05/05/2020;Dian;NULL
RSSM/ND/UMM/026/2020;Penting;Nota Dinas;Perubahan alamat email resmi RSUD dr Soedono Madiun;05/05/2020;Dian;NULL
RSSM/ND/UMM/027/2020;Segera;Nota Dinas;Jadwal Jaga Lebaran;05/05/2020;Dian;NULL
442/16798/303/2020;Penting;Surat Pengntar;Laporan pemakaian metadon Bulan April 2020;04/05/2020;Dian;NULL
800/16540/303/2020;Penting;Surat Tugas;dr Bangun Trapsila Purwaka,Sp.OG(K),M.Kes sebagai Pelaksana Tugas (Plt) Wakil Direktur Penunjang dan Pendidikan, Penelitian RSUD dr Soedono Madiun;01/05/2020;Dian;NULL
800/16520/303/2020;Penting;Surat Tugas;Kuswanto,S.Kep.Ns,M.Kes sebagai Pelaksana Tugas (Plt) Kepala Seksi Rekam Medik RSUD dr Soedono Madiun;01/05/2020;Dian;NULL
445/16479/303/2020;Penting;Surat Permohonan;Permohonan approvement penghapusan tenaga dokter RSUD dr Soedono Madiun di Aplikasi HFIS BPJS Kesehatan;30/04/2020;Dian;NULL
445/16507/303/2020;Penting;Surat Permohonan;Permohonan Penyediaan Box Charging Station;30/04/2020;Dian;NULL
445/16285/303/2020;Penting;Lain-lain;Data Pengelolaan Limbah Medis Penanganan Covid-19;29/04/2020;Dian;NULL
20/BWA-Jatim/IV/2020;Segera;Lain-lain;Penyerahan Bantuan APD dari BWA Jatim;29/04/2020;Dian;NULL
RSSM/ND/UMM/024/2020;Penting;Nota Dinas;Pelaksanaan Hari Libur Nasional dan Cuti Bersama Tahun 2020;27/04/2020;Dian;NULL
RSSM/ND/UMM/025/2020;Penting;Nota Dinas;Kegiatan Tadarus Al Quran Online;27/04/2020;Dian;NULL
RSSM/ND/UMM/023/2020;Penting;Nota Dinas;Perpanjangan Pelaporan Sensus Penduduk Online 2020;24/04/2020;Dian;NULL
RSSM/ND/UMM/022/2020;Penting;Nota Dinas;Surat Edaran tentang Upaya Pengendalian dan Pengurangan Sampah Plastik di Kota Madiun;24/04/2020;Dian;NULL
RSSM/ND/PER/39/2020;Segera;Nota Dinas;Hasil Audit Perinatal By Ny Anik Dwiyanti;24/04/2020;Dian;NULL
RSSM/ND/PER/38/2020;Segera;Nota Dinas;Hasil Audit Perinatal By Ny Sudarsini;24/04/2020;Dian;NULL
RSSM/ND/PEG/17/2020;Penting;Nota Dinas;Penetapan Jam Dinas dan Jam Buka Pelayanan pada Bulan Ramadhan 1441 H/ 2020 M;23/04/2020;Dian;NULL
451/4959/021.1/2020;Segera;Lain-lain;Seruan menyambut Bulan Suci Ramadhan 1441 H/2020 M;21/04/2020;Dian;NULL
RSSM/ND/DIK/12/2020;Segera;Nota Dinas;Pengisian Data Peserta Pelatihan Mandiri Tribulan I Tahun 2020;20/04/2020;Dian;NULL
445/11.798/303/2020;Segera;Lain-lain;Nama Peserta Pelatihan Pengadaan Barabg/Jasa dan Ujian Sertifikasi Perpres No.16 Tahun 2018 RSUD dr Soedono Madiun;18/04/2020;Dian;NULL
RSSM/ND/UMM/021/2020;Penting;Nota Dinas;Pembatasan Kegiatan Bepergian ke Luar Daerah dan/atau Kegiatan Mudik dalam upaya pencegahan penyebaran COVID-19;17/04/2020;Dian;NULL
RSSM/ND/UMM/020/2020;Penting;Nota Dinas;Program CSR Service Kendaraan;16/04/2020;Dian;NULL
SD-83/111/INKA/2020;Segera;Surat Permohonan;Permohonan Data Covid-19;16/04/2020;Dian;NULL
RSSM/ND/UMM/019/2020;Penting;Nota Dinas;Penggalangsn Donasi COVID-19;14/04/2020;Dian;NULL
045/3504/119.6/2020;Penting;Lain-lain;Penudaan Kegiatan Pengawasan Kearsipan Internal Terhadap OPD Provinsi Jatim;13/04/2020;Dian;NULL
442/13799/303/2020;Penting;Lain-lain;Laporan pemakaian metadon Bulan Maret 2020;09/04/2020;Dian;NULL
800/13.537/303/2020;Penting;Surat Tugas;Pelaksana Tugas (Plt) Kepala Bidang Pendidikan dan Penelitian;08/04/2020;Dian;NULL
640/13.338/303/2020;Segera;Lain-lain;Usulan Penyediaan Ruang Isolasi Tekanan Negatif;07/04/2020;Dian;NULL
RSSM/ND/UMM/018/2020;Penting;Nota Dinas;Kewajiban Menggunakan Masker Untuk Penanganan Covid-19;06/04/2020;Dian;NULL
445/13044/303/2020;Biasa;Surat Keterangan;Surat Keterangan Sakit an Munir Ikhsan;06/04/2020;Dian;NULL
445/13043/303/2020;Biasa;Surat Keterangan;Surat Keterangan Sakit an Simin;06/04/2020;Dian;NULL
445/12751/303/2020;Biasa;Lain-lain;Permintaan Data Medis an Suparno;03/04/2020;Dian;NULL
480/1047/401.109/2020;Penting;Surat Permohonan;Permohonan Pemasangan Spanduk Dalam Rangka Lawan Covid-19 di sekitar Lingkungan Rumah Sakit;01/04/2020;Dian;NULL
RSSM/ND/PEG/14/2020;Penting;Nota Dinas;Sistem Kerja ASN dan PTT di lingkungan RSUD dr Soedono Madiun;31/03/2020;Dian;NULL
445/12193/303/2020;Penting;Surat Pengntar;Hasil Audit Perinatal an Anindya Zifani;31/03/2020;Dian;NULL
442/12125/303/2020;Penting;Lain-lain;Laporan pemakaian metadon Bulan Pebruari 2020;31/03/2020;Dian;NULL
275/AJII/III/NMCS/0320;Penting;Nota Dinas;Pandemic Virus Covid-19;30/03/2020;Dian;NULL
RSSM/ND/UMM/11696/2020;Segera;Nota Dinas;Kewaspadaan Darurat Covid-19;27/03/2020;Dian;NULL
RSSM/ND/UMM/016/2020;Penting;Nota Dinas;Pemberitahuan Penggalangan Donasi Covid-19;27/03/2020;Dian;NULL
RSSM/ND/UMM/11695/2020;Penting;Nota Dinas;Rekomendasi Pengadaan Barang/Jasa Alat Kesehatan/Kedokteran;27/03/2020;Dian;NULL
RSSM/ND/UMM/11694/2020;Penting;Nota Dinas;Surat Edaran tentang Peningkatan Kewaspadaan Covid-19;27/03/2020;Dian;NULL
442/11333/303/2020;Penting;Lain-lain;Permintaan Aluvia Tablet Untuk Kebutuhan Terapi Covid-19;26/03/2020;Dian;NULL
442/11332/303/2020;Penting;Lain-lain;Permintaan VTM;26/03/2020;Dian;NULL
445/11656/303/2020;Penting;Surat Permohonan;Permohonan Kerjasama SDM Spesialis Jantung dengan RSUD dr Saiful Anwar Malang;26/03/2020;Dian;NULL
RSSM/ND/PEG/13/2020;Penting;Nota Dinas;Pengaturan Sistem Kerja Pegawai dan Pelaporan Kinerja di Lingkungan RSUD dr Soedono dalam Upaya Pencegahan Penyakit COVID-19;24/03/2020;Dian;NULL
RSSM/ND/UMM/015/2020;Penting;Nota Dinas;Pelalsanaan Hari Libur Nasional dan Cuti bersama Tahun 2020;24/03/2020;Dian;NULL
445/11133/303/2020;Penting;Surat Permohonan;Permohonan Bantuan APD, obat- obatan dan Reagen;23/03/2020;Dian;NULL
RSSM/ND/UMM/10857/2020;Segera;Nota Dinas;Pelaporan Sensus Penduduk Online;20/03/2020;Dian;NULL
900/10992/303/2020;Penting;Lain-lain;Pembukaan Rekening Girio;20/03/2020;Dian;NULL
RSSM/ND/UMM/10988/2020;Penting;Nota Dinas;Pelaporan progress fisik;20/03/2020;Dian;NULL
445/10999/303/2020;Penting;Surat Keterangan;Surat Keterangan Kelahiran an Ny Ayu Fitria Kushariyanti;20/03/2020;Dian;NULL
800/10853/303/2020;Segera;Lain-lain;Penyesuaian Sistem Kerja ASN Dalam Upaya Pencegahan Penyebaran COVID-19 di Lingkungan RSUD dr Soedono Madiun;19/03/2020;Dian;NULL
445/10463/303/2020;Segera;Lain-lain;Usulan Prioritas 2020 Penanganan COVID-19;17/03/2020;Dian;NULL
660.2/894/401.114/2020;Segera;Lain-lain;Surat Edaran tentang Kegiatan Jumat Bersih;17/03/2020;Dian;NULL
RSSM/ND/UMM/013/2020;Penting;Nota Dinas;Kebijakan RSUD dr Soedono Madiun dalam menghadapi Pandemi COVID-19;16/03/2020;Dian;NULL
RSSM/ND/UMM/012/2020;Penting;Nota Dinas;Pembatalan Pelaksanaan Upacara Rutin periode bulan Maret 2020, Apel Hari Kamis dan Senam Pagi Hari Jumat;16/03/2020;Dian;NULL
RSSM/ND/K3RS/106/2020;Penting;Nota Dinas;Pemberitahuan Penundaan Pemeriksaan GCU Karyawan;16/03/2020;Dian;NULL
408/SE/KARS/III/2020;Penting;Lain-lain;Penundaan Kegiatan Komisi Akreditasi Rumah Sakit Terkait Akreditasi;15/03/2020;Dian;NULL
RSSM/ND/K3RS/03/2020;Segera;Nota Dinas;Permohonan Ijin Penundaan Pemeriksaan General Chek Up (GCU) Karyawan;13/03/2020;Dian;NULL
RSSM/ND/UMM/10160/2020;Penting;Nota Dinas;Sosialisasi Sensus Penduduk Online Tahun 2020 dan Laporan SPT Tahunan;13/03/2020;Dian;NULL
RSSM/ND/UMM/011/2020;Penting;Nota Dinas;Pelaksanaan Upacara Rutin periode bulan Maret 2020;12/03/2020;Dian;NULL
658/9889/303/2020;Penting;Surat Permohonan;Permohonan hak akses pengguna manifes elektronik (FESTRONIK);12/03/2020;Dian;NULL
005/3890/031.3/2020;Segera;Surat Undangan;Undangan Sosialisasi dan Evaluasi Bidang Tatalaksana Pemerintahan;12/03/2020;Dian;NULL
445/9888/303/2020;Segera;Surat Tugas;Sebagai Petugas Upacara Rutin bulan Maret Tahun 2020 di RSUD dr Soedono Madiun yang dilaksanakan pada tanggal 17 Maret 2020;12/03/2020;Dian;NULL
445/9950/303/2020;Penting;Surat Permohonan;Permohonan Izin Penempatan Kotak Donasi untuk Palestina;12/03/2020;Dian;NULL
RSSM/ND/UMM/9757/2020;Penting;Nota Dinas;Informasi alamat kantor;11/03/2020;Dian;NULL
445/9756/303/2020;Penting;Surat Permohonan;Permohonan Narasumber Sosialisasi Sensus Penduduk Online Tahun 2020;11/03/2020;Dian;NULL
RSSM/ND/PNJ/09/2020;Segera;Nota Dinas;Penawaran KPRI Jasa Pengiriman Obat Pasien;11/03/2020;Dian;NULL
60/SPOS/42/422/2020;Penting;Lain-lain;Surat pendataan subjek dan objek pajak kendaraan bermotor;10/03/2020;Dian;NULL
445/9642/303/2020;Penting;Surat Permohonan;Permohonan pemakaian gedung;10/03/2020;Dian;NULL
974/401.114/2020;Penting;Lain-lain;Setoran Retribusi Kebersihan;10/03/2020;Dian;NULL
445/9425/303/2020;Penting;Surat Pengntar;Hasil Audit Maternal By Ny Wiji Herlina;09/03/2020;Dian;NULL
445/9419/303/2020;Penting;Lain-lain;Penawaran Kerjasama Pelayanan Kesehatan Karyawan;09/03/2020;Dian;NULL
445/9335/303/2020;Segera;Surat Keterangan;Surat Keterangan Kelahiran an Ny Marisakaeksi;09/03/2020;Dian;NULL
445/9309/303/2020;Penting;Surat Permohonan;Permohonan Surat Keterangan Sakit an Agus Supriyohadi;09/03/2020;Dian;NULL
445/9470/303/2020;Penting;Lain-lain;Permintaan hasil resume medis an Mutia Rahardian Sari;09/03/2020;Dian;NULL
401.c/21/13.06.40/2020;Segera;Lain-lain;Penawaran Harga;09/03/2020;Dian;NULL
800/9172/303/2020;Segera;Surat Tugas;Pembekalan Terintegrasi Tenaga Kesehatan Haji Kloter di Embarkasi Haji Surabaya an Yahya Badarus Samsyi, S.Kep.Ns;06/03/2020;Dian;NULL
RSSM/ND/UMM/9165/2020;Penting;Nota Dinas;Survey Permasalahan dan Pendampingan PBJ;06/03/2020;Dian;NULL
800/9172/303/2020;Segera;Surat Tugas;Pembekalan Terintegrasi Tenaga Kesehatan Haji Kloter di Embarkasi Haji Surabaya;06/03/2020;Dian;NULL
800/9173/303/2020;Penting;Surat Tugas;Pembekalan Terintegrasi Tenaga Kesehatan Haji Kloter di Embarkasi Haji Surabaya an An Yuliani,S.Kep,Ns;06/03/2020;Dian;NULL
RSSM/ND/PER/9/2019;Penting;Lain-lain;Update Aplikasi Perencanaan SDMK untuk Perencanaan Kebutuhan SDMK Tahun 2021;04/03/2020;Dian;NULL
430/vII-3/0320;Penting;Lain-lain;Data Kelengkapan Program Rujuk Balik;04/03/2020;Dian;NULL
RSSM/ND/DIK/03/2020;Segera;Nota Dinas;Permohonan Pengisian Data Kebutuhan untuk Feasibility Study RS Kelas A;04/03/2020;Dian;NULL
099/I/MDI-BD/2020;Segera;Lain-lain;Surat Pemberitahuan Halodoc;03/03/2020;Dian;NULL
RSSM/ND/PEG/8/2020;Penting;Nota Dinas;Pendaftaran Sumpah/Janji PNS bagi Pegawai Negeri Sipil yang belum pernah diangkat Sumpah/Janji PNS;03/03/2020;Dian;NULL
02/KORP/III/2019;Penting;Lain-lain;Pelaksanaan kegiatan Donor Danar;03/03/2020;Dian;NULL
445/8211/303/2020;Penting;Lain-lain;Pemberitahuan Penghentian Layanan;02/03/2020;Dian;NULL
RSSM/ND/UMM/008/2020;Penting;Nota Dinas;Tindak Lanjut RUP;02/03/2020;Dian;NULL
RSSM/ND/UMM/007/2020;Penting;Nota Dinas;Pengantar Surat Edaran Gubernur Jatim Nomor 027/1653/022.1/2020;28/02/2020;Dian;NULL
445/7740/303/2020;Penting;Surat Permohonan;Permohonan Izin Kerjasama dengan RSUD Dr Harjono Ponorogo;27/02/2020;Dian;NULL
445/7330/303/2020;Penting;Lain-lain;Data Laporan Kunjungan Pasien Potensial Cathlab;25/02/2020;Dian;NULL
RSSM/ND/PEG/07/2020;Penting;Nota Dinas;Pelaksana Harian Wakil Direktur Pelayanan Medik dan Keperawatan RSUD dr Soedono Madiun;25/02/2020;Dian;NULL
800/7332/303/2020;Penting;Surat Tugas;dr. Nunik Dhamayanti sebagai Pelaksana Tugas (Plt) Kepala Bagian Perencanaan Program dan Evaluasi;25/02/2020;Dian;NULL
445/7272/303/2020;Penting;Surat Pengntar;Hasil Audit Maternal an By Ny Lusa Devi Budiarti;24/02/2020;Dian;NULL
445/7273/303/2020;Penting;Surat Pengntar;Hasil Audit Perinatal an By. Ny. Ida Nur Azizah;24/02/2020;Dian;NULL
01/Pan-RSN/IX/2020;Penting;Surat Permohonan;Permohonan Bantuan Dana;24/02/2020;Dian;NULL
445/7160/303/2020;Penting;Surat Permohonan;Permohonan Rincian Pemegang Saham ;24/02/2020;Dian;NULL
445/7171/303/2020;Penting;Surat Pengntar;Hasil Audit Perinatal an By Ny Mawarni;24/02/2020;Dian;NULL
B420/KLM/11/2020;Segera;Surat Permohonan;Permohonan kekurangan Dokumen Medis an Eka Putri;24/02/2020;Dian;NULL
4456998/303/2020;Penting;Surat Permohonan;Permohonan Narasumber Bimbingan Teknis Keprotokoleran;21/02/2020;Dian;NULL
445/7000/303/2020;Penting;Surat Permohonan;Permohonan Narasumber Sosialisasi Pedoman Umum 2020;21/02/2020;Dian;NULL
445/7005/303/2020;Penting;Surat Keterangan;Permintaan data medis an Patminarsih;21/02/2020;Dian;NULL
445/6884/30/2020;Penting;Lain-lain;Pengakhiran Kerjasama;20/02/2020;Dian;NULL
09/KCVRI-SBY/II/2020;Penting;Surat Permohonan;Permohonan Bantuan Dana Baksos Khitanan Masal Anak Yatim Dan Dhuafa;20/02/2020;Dian;NULL
445/6883/303/2020;Penting;Lain-lain;Permintaan Resume Medik an Ary Siswanto;20/02/2020;Dian;NULL
RSSM/ND/UMM/6712/2020;Penting;Nota Dinas;Nonton Bareng Final Piala Gubernur Jawa Timur Tahun 2020;19/02/2020;Dian;NULL
660/1176/401.111/2019;Penting;Surat Permohonan;Permohonan Pohon Tabebuya;19/02/2020;Dian;NULL
445/6545/303/2020;Penting;Lain-lain;Pemenuhan surat izin operasional dan sertifikat akreditasi rumah sakit;18/02/2020;Dian;NULL
061/6546/303/2020;Penting;Surat Balasan;Jawaban Perhitungan Tingkat Kematangan Perangkat Daerah;18/02/2020;Dian;NULL
445/6547/303/2020;Penting;Surat Balasan;Jawaban Permintaan Data RSD terkait BLUD;18/02/2020;Dian;NULL
445/6395/303/2020;Segera;Nota Dinas;Penyusunan Perjanjian Kinerja Tahun 2020 bagi Karyawan/wati RSUD dr Soedono Madiun;17/02/2020;Dian;NULL
360/2360/208.2/2020;Penting;Lain-lain;Tindak Lanjut Upaya Pencegahan Bencana (Disaster Prevention) Penanganan Banjir/Longsor;14/02/2020;Dian;NULL
RSSM/ND/UMM/004/2020;Penting;Nota Dinas;Pelaksanaan Upacara Rutin periode bulan Februari 2020;13/02/2020;Dian;NULL
800/5857/303/2020;Penting;Surat Keterangan;Surat Keterangan Berkunjung an Eko Retno Wati dan Verry Renaldo;13/02/2020;Dian;NULL
445/5594/303/2020;Penting;Surat Keterangan;Surat Keterangan Domisili PPNI;12/02/2020;Dian;NULL
445/5616/303/2020;Penting;Surat Tugas;Melaksanakan tugas sebagai Petugas Upacara Rutin bulan Februari Tahun 2020 di RSUD dr Soedono Madiun yang dilaksanakan pada tanggal 17 Februari 2020;12/02/2020;Dian;NULL
445/5623/303/2020;Penting;Lain-lain;Penyampaian Formulir Penilaian Kesiapan Implementasi Rekam Medik Elektronik;12/02/2020;Dian;NULL
045/1454/119.6/2020;Penting;Lain-lain;Bimbingan dan Konsultasi (Pendampingan) Kearsipan;12/02/2020;Dian;NULL
442/5625/303/2020;Penting;Lain-lain;Laporan pemakaian metadon Bulan Januari 2020;12/02/2020;Dian;NULL
045.2/1455/119.6/2020;Segera;Lain-lain;Pengawasan Kearsipan Internal;12/02/2020;Dian;NULL
